City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Angelo,US,2021-04-04 15:22:23,31.4638,-100.437,61.0,77,90,3.44
1,Hofn,IS,2021-04-04 15:23:55,64.2539,-15.2082,18.88,54,58,25.1
2,Kota Belud,MY,2021-04-04 15:23:55,6.351,116.4305,84.2,84,20,2.3
3,Aykhal,RU,2021-04-04 15:23:55,66.0,111.5,-18.27,100,99,5.84
4,Matagami,CA,2021-04-04 15:23:56,49.7502,-77.6328,33.8,100,90,9.22
5,Tuatapere,NZ,2021-04-04 15:23:56,-46.1333,167.6833,57.99,69,35,4.0
6,Tvedestrand,NO,2021-04-04 15:23:56,58.622,8.9315,44.6,81,75,14.97
7,La Cruz,MX,2021-04-04 15:23:57,23.9167,-106.9,75.6,48,0,3.24
8,Sanchor,IN,2021-04-04 15:23:57,24.7553,71.7722,88.2,17,0,10.11
9,Poum,NC,2021-04-04 15:21:18,-20.2333,164.0167,79.18,79,100,24.34
10,Rikitea,PF,2021-04-04 15:23:57,-23.1203,-134.9692,77.27,67,36,14.2
11,Hobart,AU,2021-04-04 15:21:58,-42.8794,147.3294,57.2,62,75,9.22
12,Hilo,US,2021-04-04 15:23:58,19.7297,-155.09,68.0,83,75,4.61
13,Punta Arenas,CL,2021-04-04 15:23:50,-53.15,-70.9167,44.6,57,0,14.97
14,Yellowknife,CA,2021-04-04 15:22:41,62.456,-114.3525,10.0,66,75,5.75
15,Prince Rupert,CA,2021-04-04 15:23:59,54.3161,-130.3201,37.4,93,90,5.75
16,Cidreira,BR,2021-04-04 15:23:59,-30.1811,-50.2056,74.86,69,3,14.5
17,Merauke,ID,2021-04-04 15:23:59,-8.4667,140.3333,79.93,80,100,3.11
18,Jalu,LY,2021-04-04 15:24:00,29.0331,21.5482,86.86,7,0,13.31
19,Bethel,US,2021-04-04 15:24:00,41.3712,-73.414,48.99,29,90,3.8
20,Thompson,CA,2021-04-04 15:24:01,55.7435,-97.8558,23.0,58,20,4.61
21,Hundorp,NO,2021-04-04 15:24:01,61.5552,9.9407,44.94,67,71,17.0
22,Busselton,AU,2021-04-04 15:24:01,-33.65,115.3333,64.99,88,0,3.38
23,Souillac,MU,2021-04-04 15:24:02,-20.5167,57.5167,80.6,78,20,8.05
24,Vila,PT,2021-04-04 15:24:02,42.0304,-8.1588,75.0,37,4,7.0
25,Benghazi,LY,2021-04-04 15:22:16,32.1167,20.0667,77.65,30,4,21.0
26,Butaritari,KI,2021-04-04 15:24:02,3.0707,172.7902,81.41,79,21,8.61
