City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Ereymentau,KZ,51.6199,73.1033,36.39,90,100,7.2,overcast clouds
246,Juneau,US,58.3019,-134.4197,35.6,48,75,14.97,broken clouds
247,Valparaiso,CL,-33.0393,-71.6273,62.01,88,0,8.05,clear sky
248,Zinder,NE,13.8072,8.9881,82.94,12,85,8.63,overcast clouds
249,Nepomuceno,BR,-21.2358,-45.2358,61.18,89,3,9.93,clear sky
250,Pavlivka,UA,49.4414,28.4596,29.84,78,5,8.55,clear sky
251,Salta,AR,-24.7859,-65.4117,68.0,88,75,1.74,broken clouds
252,Dayong,CN,25.0209,118.2898,68.0,42,90,2.24,overcast clouds
253,Nyurba,RU,63.2842,118.3319,26.38,96,100,5.97,light snow
254,Hasaki,JP,35.7333,140.8333,60.8,76,75,5.75,broken clouds
255,Evensk,RU,61.95,159.2333,14.02,81,22,1.9,few clouds
256,Monte Alegre De Minas,BR,-18.8706,-48.8808,69.84,75,100,7.61,overcast clouds
257,Trzcianka,PL,53.0406,16.4563,37.0,95,100,5.99,overcast clouds
258,Ballina,AU,-28.8667,153.5667,71.6,88,90,11.5,overcast clouds
259,Huambo,AO,-12.7761,15.7392,58.03,82,69,2.15,broken clouds
260,Ilulissat,GL,69.2167,-51.1,17.6,62,75,2.3,broken clouds
261,Abong Mbang,CM,3.9833,13.1833,69.66,84,68,2.86,light rain
262,Souillac,MU,-20.5167,57.5167,77.0,88,75,9.22,broken clouds
263,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,88,40,3.44,scattered clouds
264,Margate,GB,51.3813,1.3862,39.0,53,6,1.99,clear sky
265,Nhulunbuy,AU,-12.2333,136.7667,86.0,54,20,4.61,few clouds
266,Shuangcheng,CN,45.35,126.2833,35.6,27,0,17.9,clear sky
267,Nara,JP,34.6851,135.8049,61.0,55,0,2.3,clear sky
268,Jacareacanga,BR,-6.2222,-57.7528,75.69,90,86,2.33,overcast clouds
269,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,77,40,15.12,scattered clouds
270,Guarda,PT,40.5373,-7.2658,51.01,69,100,2.46,overcast clouds
271,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,45,0,18.41,clear sky
272,Gamba,GA,-2.65,10.0,77.85,90,89,3.85,moderate rain
273,Shirokiy,RU,49.758,129.523,31.53,42,18,16.75,few clouds
274,Vanavara,RU,60.34,102.2797,29.35,91,100,4.9,overcast clouds
275,Imbituba,BR,-28.24,-48.6703,73.4,83,75,5.75,broken clouds
276,Tchollire,CM,8.4022,14.1698,91.65,17,100,4.76,overcast clouds
277,Atherton,GB,53.5237,-2.4935,42.01,69,88,1.99,light rain
278,Huicungo,PE,-7.2833,-76.8,72.45,96,100,1.61,overcast clouds
279,Shreveport,US,32.5251,-93.7502,69.8,88,1,4.61,clear sky
280,Alice Springs,AU,-23.7,133.8833,82.4,24,0,10.36,clear sky
281,Coahuayana,MX,18.7333,-103.6833,75.6,65,0,3.53,clear sky
282,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,33.39,66,100,12.33,overcast clouds
283,Vysokopillya,UA,47.4919,33.5306,33.8,80,0,6.71,clear sky
284,Pangnirtung,CA,66.1451,-65.7125,30.04,95,100,9.06,snow
285,Atar,MR,20.5169,-13.0499,78.89,19,0,7.72,clear sky
286,Taoudenni,ML,22.6783,-3.9836,82.42,15,0,10.16,clear sky
287,Saskylakh,RU,71.9167,114.0833,5.11,94,100,6.6,overcast clouds
288,Meulaboh,ID,4.1363,96.1285,77.29,86,59,3.56,broken clouds
289,Oistins,BB,13.0667,-59.5333,78.8,65,20,10.36,few clouds
290,Susanville,US,40.4163,-120.653,62.6,12,1,13.8,clear sky
291,Lufilufi,WS,-13.8745,-171.5986,84.2,84,75,8.05,light rain
292,Komsomolskiy,UZ,40.4272,71.7189,46.4,66,0,6.91,clear sky
293,Okhotsk,RU,59.3833,143.3,20.23,81,100,5.41,overcast clouds
294,Coxim,BR,-18.5067,-54.76,71.11,87,90,3.65,overcast clouds
295,Usvyaty,RU,55.7456,30.7533,30.63,82,100,5.88,overcast clouds
296,Channel-Port Aux Basques,CA,47.5702,-59.1367,41.65,94,95,10.54,overcast clouds
297,Breves,BR,-1.6822,-50.4803,76.66,89,100,4.0,overcast clouds
298,Chaman,PK,30.9236,66.4512,59.47,18,0,6.15,clear sky
299,Llanes,ES,43.4198,-4.7549,48.0,60,61,7.07,broken clouds
300,Nizhniy Odes,RU,63.6445,54.856,31.3,94,93,6.44,overcast clouds
301,Maceio,BR,-9.6658,-35.7353,75.2,88,0,2.3,clear sky
302,Sivaki,RU,52.6333,126.75,22.98,64,11,6.24,few clouds
303,Faanui,PF,-16.4833,-151.75,81.36,68,62,13.24,broken clouds
304,Caravelas,BR,-17.7125,-39.2481,73.76,86,100,10.94,light rain
305,Manicore,BR,-5.8092,-61.3003,74.01,97,100,1.63,overcast clouds
306,Zvishavane,ZW,-20.3267,30.0665,54.7,76,9,1.57,clear sky
307,Juegang,CN,32.3174,121.1855,57.0,72,95,4.36,overcast clouds
308,Kiomboi,TZ,-4.2667,34.3667,57.65,89,2,4.18,clear sky
309,Dutlwe,BW,-23.9833,23.9,64.85,51,30,7.87,scattered clouds
310,Birao,CF,10.2849,22.7882,78.84,12,89,5.82,overcast clouds
311,Constitucion,CL,-35.3333,-72.4167,55.58,83,63,8.03,broken clouds
312,Yar-Sale,RU,66.8333,70.8333,10.33,100,100,3.31,overcast clouds
313,Eyrarbakki,IS,63.863,-21.1481,30.2,80,90,19.57,snow
314,Belyy Yar,RU,53.6039,91.3903,37.4,70,0,6.71,clear sky
